ng	מסגד
outskirts	פרוורים
meticulous	מדוקדק
impregnable	בלתי חדיר
divergence	שונות
ponderous	כבד מאוד
demean	להשפיל
turbulence	מהפכה
outrage	זעם
paternal	אבהי
synonym	סינונים
suceptible	רגיש
intricate	מורכב
swathe	עטף
outpaced	התקדם מהר יותר
spire	צריח
equivocal	מעורפל
convalesce	להחלים
gape	לבהות
demented	מטורף
turbulent	גועש
overdo	להגזים
diagonal	אלכסון
overthrow	הפיכה 2.קריסה
municipal	עירוני
expertise	מומחיות
etcher	חרט
mound	תל
cricket	קריקט (משחק כדור) 2.צרצר
evasive	חמקני
trivial	שולי
eject	לסלק
demolish	להרוס
tutor	להדריך
overhear	לשמוע במקרה
underscored	מודגש
exception	יוצא מן הכלל
fetus	עובר
facades	חזיתות (אדריכלות)
bachelor	בוגר
envisage	חזה
curb	אבן שפה (ברחוב) 2. לרסן
fastidious	בררן
intensity	העמקה
cheeky	חצוף
demolition	הריסה
tyranny	עריצות
overrule	להחליט נגד
undertook	התחייב
with the exception of	למעט
concurred with	להתרחש בו זמנית
strand	גדיל
vacancy	ריקנות
squalid	מטונף
septic	מזוהם
redeem	לפדות
thus	לפיכך
avoidable	שניתן להימנע ממנו
denounce	להאשים
overview	סקירה
inquires	מתחקר
omnivore	אוכל כל
blaspheme	לחלל (דבר קדוש)
realm	ממלכה 2.תחום
alumna	בוגרת מוסד השכלה
sewerage	ביוב
grim	זועף
rediscover	לגלות מחדש
prospect	סיכויים
underfed	שלא קיבל מספיק אוכל או אנרגיה
departure	יציאה
clutch	מצמד 2.אחיזה
admirable	נערץ
composition	הרכב
restraint	איפוק
fraternity	אחווה
municipality	עיר
supremacy	עליונות
refine	לזכך
skimp	להתמקצן
deplore	לגנות
depict	לתאר
tyrant	עריץ
pamphlet	חוברת
thaw	להפשיר
restorts to	פונה ל
bridle	רסן
fleeting	קצר מועד
mascot	קמע
parcel	חבילה
deem	העריך
regime	משטר
kernel	גלעין
gleeful	צוהל
deplete	למצות
undo	לבטל
parachute	לצנוח 2.מצנח
companion	לוויה
ruin	הירס
commanded	ציווה
misadventure	מזל רע (ביש מזל)
disembarked	נחת
negligence	רשלנות
noncturnal	פעיל בלילה
forge	לעצב
igonminious	משפיל
undergo	להתנסות
peck	לנקור
incorporate	לשלב
incorporated into	שולב
resolve	לפתור 2.להחליט
Pivotal	מכריע
fretful	עצבני
curfew	עוצר
poignant	נוקב
enumerate	למנות
correspond	להיות תואם
intoxicate	לשכר (שיכור)
deport	לגרש
underlie	להדגיש 2.להיות מונח ביסוד 3.ממקום מתחת ל
peek	להציץ
trample	רומס
prohibited by	נאסר על ידי
demand	לדרוש
intricately	בצורה מורכבת
slate	כיסה ברעפים
armistice	שביתת נשק
venue	מקום אירוע
lucid	ברור
dispose	לזרוק
conspire	לקשור קשר
deprive	למנוע
undertake	לקחת על עצמו
exhale	נושף
uproar	מהומה
liable	אחראי
curiously	באופן מסקרן 2.באופן מוזר
demolished	נהרס
perception	תפיסה (איך אנחנו חושבים על משהו)
loathe	לתעב
trait	אופי
electrify	לחבר לרשת חשמל 2. לרגש
derive	להסיק מסקנה
uneasy	מודאג
peer	עמית
depart	לעזוב
forbade	לאסור
suffocation	חנק
formats	תבנית
Cramped	מכווץ
aviation	תעופה
limber	גמיש (גוף או אישיות)
distortion	עיוות
collapsible	מתקפל
deputy	סגן
unsion	הרמוניה 2.אחדות
peep	להציץ
affluence	עושר
skating	החלקה
languish	לדעוך
infiltration	הסתננות
industrialist	תעשיין
vintage	בציר 2. כינוי לפריט שערכו עולה ככל שהוא מתיישן
letharagic	אפתי
obedience	משמעת
hyperventilate	לסבול מנשימת יתר
derogatory	מזלזל
ubringing	גידול
petition	עתירה 2.עצומה
etiquette	כללי התנהגות
tactufully	בצורה טקטית
stenographer	קצרן (רשם בבית משפט)
conscientiousness	עבודה בחריצות
debut	הופעה ראשונה
gibe	לגלוג
intrauterine	תוך רחמי
foe	אוייב
persecute	לרדוף
descend	לרשת בירושה 2.לרדת
uphold	לאשר
physician	רופא
oversight	השמטה
mournfully	בצורה עצובה
ambivalence	רגשות סותרים
Probity	יושרה
saucer	צלוחית
sneer	בז
assimilation	הטמעה
enchant	לכשף
species	מין
aflutter	נרגש בציפייה למשהו
deserter	עריק
uplift	הרים
pier	מזח
appeal	מערער
innumerable	עצום
attribute	לייחס 2.תכונה
quota	מכסה (של מקומות)
eschew	נמנע
veil	מסווה
buoy	הציף 2. תמך
enquiry	חקירה
broadcast	לשדר
pump up	לנפח 2. לשלהב
despise	לבוז
synonymous	נרדף
perceptive	חד עין
crowded	צפוף
deterred	הרתיע
stifling	מחניק
woo	לשכנע מישהו שיתמוך בך
encompassing	הקיף
ascribe	לשייך
defiant	סרבן
cold-sweat	זיעה קרה (כתוצאה מפחד)
designate	מיועד
utomost	הגדול ביותר
pillar	עמוד
hiatus	הפסקה זמנית
cogent	משכנע 2.רלוונטי
deducible	ניתן להסקה
immersing	טבילה
stifle	חנק
silhouette	צללית
erosion	סחיפה
audacious	נועז
dubious	מפוקפק
ferment	להתסיס
detach	לנתק
utter	לבטא
pin	סיכה
curator	אוצר (במוזיאון)
mere	רק
propagate	להתרבות 2.להפיץ
adcom	ועדות קבלה (ראשי תיבות)
funnel	ניתב
effusive	קבלה
spill	נשפך
avarice	תאוות בצע
compulsory	חובה
stagger	להתנדנד מצד לצד (ללכת בקושי רב) 2.לסדר בצורה מוזרה
detain	לעכב
utterly	לגמרי
pinch	לצבוט
counterpart	עמית
phobias	פחדים
encompass	לכלול
procrastinate	לדחות דברים
unreceptive	שאינו קשוב
trifle	דבר קטן
doping	סמים
disguise	להסוות
constitution	הרכב
slake	להרוות צימאון למשהו
deter	להרתיע
utility	שימושיות
pinpoint	לאתר במדויק
boast	מתרברב
humming	זמזום
bend	לעקם
glance	מבט חטוף
tumble	נפילה
dull	אדיש
stint	קדנציה
distinct	מובחן
reprimand	לנזוף
baffle	לבלבל
detest	לשנוא
plain	מישור 2.פשוט
sewing	תפירה
vociferous	רעשני
impartiality	ניטרליות
scenery	נוף
unionize	להתאגד
weave	ארג
backlash	תקופת נגד חריפה
convene	להתכנס
abbreviate	לקצר
recuperate	להחלים
detract	לגרוע
operated	הפעילו
aviator	טייס
grime	זיהם
communicative	תקשורתי
parlayed	מינוף
juxtaposition	סמיכות
armchair	כורסה
apnea	דום נשימה
defect	לערוק
puppy love	אהבת נעורים
detrimental	מזיק
injection	זריקה
platter	מגש
contemplate	להרהר
vetoed	להטיל וטו
interpret	לפרש
conferences	ועידות
thererunder	מתחתיו
opulence	עושר
fin	סנפיר
defintive	סופי
corollary	תולדה
ramification	השלכות
devise	לתכנן
gradual	הדרגתי
plot	עלילה 2.מזימה
gait	הליכה
distilled	מזוקק
respectively	בהתאמה
inhibition	מעכב
wistful	מלא געגוע (בצורה שלילית ועצובה)
binding	עטיפה
contentious	שנוי במחלוקת
candid	כן
impartial	נטרלי
fluctuate	להתנדנד
devote	להקדיש
intimidate	להפחיד
plug	תקע 2.מצת 3.פקק
senesce	הזדקנות
radish	צנון
inspector	מפקח
pertinent	רלוונטי
flippancy	קלות דעת
august	אצילי
ignite	הצית
cohesive	מלוכד
serene	שליו
impoverish	לרושש
devotion	התמסרות
executive	מנהל
pole	מוט 2.קוטב
integrate	לשלב
permanent	תמידי
shrewdness	פיקחות
liturgical	פולחני
bliss	אושר עילאי
languid	נרפה
sanction	סנקציה
condone	למחול
intact	שלם
devour	לזלול
collaborator	משתפי פעולה
pounce	להתנפל
leap	זינוק
heirloom	ירושה
distribution	הפצה
discrepant	חריג
slot	חריך
depicted	תיאר
potency	כוח
conjecture	לשער
basin	אגן
opportune	מה שקרה בעיתוי מוצלח
deviate	לחרוג
subordinate	כפוף ל
powder	אבקה
flare	להבה
postal	של דואר
administrator	מנהל
compatible	מתאים
panel	קבוצה של אנשים שמכתנסים לשירות כלשהו
agitation	תסיסה
admission	הכנסה
diligent	חרוץ
sincerity	כנות
fallacious	מטעה
deviation	חריגה
needlessly	ללא הצורך
precipitation	משקעים
gloat	שמחה לאיד
avid	להוט
carcass	פגר
hub	מרכז
dissuade	הניא (גרם למשהו לא לקרות)
incognito	בעילום שם
showdown	עימות מכריע
disdain	לבוז
hearsay	שמועה
renovate	לשפץ
devoid	חסר
imperceptibility	באופן בלתי מורגש
preoccupation	טרדה
bred	לגדל 2.להתרבות 3.להפרות
enterprise	יוזמה
consult	להתייעץ
wage	שכר
coarse	גס
furnish	לרהט
underscoring	הדגשה
sneak	להתגנב
eclectic	בררני
inferior	נחות
devout	אדוק
adversely	בצורה מנוגדת
proceed	להמשיך
swept	טאטא
linguistic	בלשני
deceit	רמאות
collar	צווארון (בבגד) 2.קולר לבעלי חיים
wacky	מטורף
entangle	סיבך
garner	אסף
solitude	בדידות
amiss	לא כשורה
diagnose	לאבחן
abducted	נחטף
profession	מקצוע 2.הצהרה
bound	קשור
neural	עצבי
deficient	חסר
unhinged	משוגע
forgery	זיוף
eloquent	רהוט
emphasis	דגש
nominal	סמלי
insulation	בידוד
remark	הערה
prohibit	לאסור
shrunk	כיווץ
unveiled	חשף
demonstration	הוכחה
void	ריק
dissect	ביתר
waylaid	מונחת בדרך
elementary	יסודי
fuse	נתיך 2. להתמזג
obscure	מעורפל
thrust	דחף
dictate	לפקד 2.להכתיב (לומר למישהו מה לכתוב)
stripe	פס
prophecy	נבואה
indignant	ממורמר
fierce	פראי
inherent	שטבוע במהות של דבר
raking	גריפה
lukewarm	פושר
commended	שיבח
embellished	יפה
futile	עקר
recluse	מתבודד
derivation	הוכחה (לוגית)
dictation	הכתבה
adaptation	הסתגלות
pump	לשאוב
elusive	חמקמק
cardboard	קרטון
on account of	בגלל
bummed	מאוכזב
frenetic	משוגע
pillaged	בזז
alleged	כביכול
intimate	לרמוז
malignant	מרושע
