word,translation
abate,"להפחית, לשכך"
absolve,לפטור מאשמה
admonish,לנזוף
alienate,"לנכר, להרחיק"
allege,לטעון
alleviate,להקל
allot,"להקצות, לחלק"
allude,לרמוז
ambush,לארוב
annihilate,להשמיד
appease,"לפייס, להרגיע"
appraise,להעריך
apprehend,"לתפוס, להבין"
aspire,לשאוף
assassinate,להתנקש
assert,"לטעון בתוקף, להתעקש"
assimilate,"להטמיע, להיטמע"
atone,לכפר
augment,"להגדיל, להעצים"
avail,"להועיל, לנצל"
avert,"למנוע, להסיט"
baffle,"לבלבל, להדהים"
banish,"לגרש, להגלות"
beguile,"לפתות, להקסים"
bequeath,להוריש
berate,"לנזוף, לגער"
bestow,להעניק
bombard,להפציץ
cater,"לספק מזון, לרצות"
censor,לצנזר
chant,"לזמר, לשנן"
clamor,"להקים המולה, לזעוק"
cling,"להיצמד, להיאחז"
clutch,לאחוז בחוזקה
coerce,"לכפות, לאלץ"
coin,לטבוע מונח
coincide,"להתלכד, לחפוף"
commiserate,להשתתף בצער
compel,"להכריח, לאלץ"
compose,"לחבר, להרכיב"
compost,לדשן
comprehend,להבין
comprise,"להכיל, לכלול"
conceal,להסתיר
concede,"להודות, לוותר"
concur,להסכים
condemn,"לגנות, להרשיע"
condone,"לסלוח, להכשיר"
confide,לגלות בסוד
confiscate,להחרים
confound,לבלבל
congregate,להתאסף
conserve,לשמר
course,לזרום
crave,להשתוקק
cringe,להתכווץ מבושה
croak,לקרקר
decompose,להתפרק
deface,להשחית
denounce,לגנות
detract,לגרוע
disintegrate,להתפורר
dismantle,לפרק
diverge,"להתפצל, לסטות"
divulge,"לגלות, לחשוף"
dodge,להתחמק
dwell,"לשכון, להתעכב"
dwindle,"להצטמק, להתמעט"
engulf,"לבלוע, להקיף"
enlist,"להתגייס, לגייס"
ensue,"לנבוע, להימשך"
entail,"לגרור, להצריך"
erode,"לשחוק, לכרסם"
erupt,להתפרץ
escalate,להסלים
escort,ללוות
execute,"לבצע, להוציא להורג"
exert,להפעיל
flounder,"להתבוסס, להתקשות"
flourish,לשגשג
initiate,"ליזום, להתחיל"
inject,להזריק
inquire,"לחקור, לברר"
interrogate,לחקור
intervene,להתערב
intimidate,"להפחיד, לאיים"
intrigue,"לסקרן, לעניין"
invade,לפלוש
launder,"לכבס, להלבין הון"
nourish,להזין
nullify,לבטל
nurture,לטפח
opt,לבחור
orbit,"להקיף, לחוג"
originate,"לנבוע, להתחיל"
outnumber,לעלות במספר
perch,להתיישב
perish,"לאבד, להיהרג"
ravage,"להרוס, לשדוד"
revoke,לבטל
revolt,למרוד
abstinence,"התנזרות, פרישות"
accolade,"הענקת שבח, תואר"
accomplice,שותף לדבר עבירה
advent,"הופעה, בוא"
adversary,"יריב, מתנגד"
affliction,"מכאוב, ייסורים"
alias,"שם בדוי, כינוי"
allegation,האשמה
alliance,ברית
allure,"כוח משיכה, פיתוי"
allusion,"ארמז, רמז"
altar,מזבח
altercation,"ריב, תגרה"
altitude,גובה
alumnus,בוגר מוסד לימודים
amateur,חובבן
amenity,שירות נוחיות
amnesty,חנינה
anecdote,אנקדוטה
anomaly,"אנומליה, חריגה"
apparatus,"מכשיר, מנגנון"
aptitude,"כישרון, נטייה טבעית"
artifact,חפץ עתיק
aspiration,שאיפה
attire,"לבוש, תלבושת"
audacity,"העזה, חוצפה"
backdrop,רקע
banquet,משתה
benefactor,"נדיב, תורם"
beneficiary,מוטב
bias,"דעה קדומה, נטייה"
blunder,"פשלה, שגיאה גסה"
breach,"הפרה, פרצה"
breed,"גזע, מין"
bundle,"חבילה, צרור"
burden,"נטל, משא"
cadence,"קצב, מקצב"
caliber,"קליבר, שיעור קומה"
capacity,"קיבולת, כושר"
capsule,"קפסולה, כמוסה"
captivity,שבי
carcass,"נבלה, פגר"
carnage,"טבח, הרג המונים"
cascade,"מפל, אשד"
catastrophe,"קטסטרופה, אסון"
catchphrase,"סיסמה, אמרת כנף"
cavity,חור בשן
cemetery,בית קברות
certification,"הסמכה, אישור"
chamber,"חדר, לשכה"
charade,"הצגה, העמדת פנים"
chronicle,"כרוניקה, דברי הימים"
clarity,בהירות
classification,"סיווג, מיון"
cluster,"אשכול, צביר"
clutter,"אי-סדר, בלגן"
coffin,ארון מתים
coincidence,צירוף מקרים
commotion,מהומה
compassion,חמלה
competence,"יכולת, כשירות"
composure,"קור רוח, שלווה"
compound,"תרכובת, מתחם"
concession,"ויתור, זיכיון"
configuration,תצורה
confinement,"מאסר, ריתוק"
conjecture,"השערה, ניחוש"
constituent,"בוחר, מרכיב"
consultation,"התייעצות, ייעוץ"
critique,ביקורת
crossroad,צומת דרכים
cue,"רמז, אות"
debris,"הריסות, פסולת"
delusion,"אשליה, הזיה"
demeanor,התנהגות
detriment,"נזק, פגיעה"
diagnosis,אבחנה
dialect,"ניב, דיאלקט"
disgust,"גועל, תיעוב"
dismay,"תדהמה, ייאוש"
disparity,"פער, שוני"
displacement,"עקירה, הדחה"
dispute,"סכסוך, ויכוח"
drone,"מזל""ט, זמזום"
drought,בצורת
drove,"עדר, המון"
dwelling,"מגורים, משכן"
emission,פליטה
emperor,קיסר
expulsion,"גירוש, סילוק"
heretic,כופר
heritage,מורשת
hiatus,"הפסקה, פער"
imitation,חיקוי
implication,"השלכה, רמיזה"
impulse,"דחף, אימפולס"
incentive,תמריץ
incident,תקרית
insight,תובנה
inspiration,השראה
institute,"מכון, מוסד"
intersection,צומת
intuition,אינטואיציה
invasion,פלישה
landmark,נקודת ציון
landscape,נוף
lapse,"מעידה, פרק זמן"
lawsuit,תביעה משפטית
missile,טיל
mist,ערפל
mode,"אופן, מצב"
pattern,"דפוס, תבנית"
pavement,מדרכה
peasant,"איכר, צמית"
pedal,"דוושה, פדל"
peddler,רוכל
pedestal,"כן, בסיס"
pedestrian,הולך רגל
peer,"עמית, שווה מעמד"
abhorrent,"מתעב, נתעב, דוחה"
abysmal,"תהומי, גרוע מאוד"
acclaimed,"מהולל, שזכה להכרה"
addictive,ממכר
adept,"מיומן, בקיא"
adequate,"הולם, מספיק"
adverse,"שלילי, מזיק"
affectionate,"מביע חיבה, חיבתי"
affirmative,חיובי
affordable,במחיר סביר
affluent,"עשיר, אמיד"
agonizing,"מייסר, מכאיב מאוד"
airborne,"מוטס, נישא באוויר"
alarming,"מדאיג, מבהיל"
alleged,"לכאורה, הנטען"
ambitious,שאפתני
amenable,"נוח לשכנוע, כנוע"
amiable,"חברותי, נעים"
amicable,"ידידותי, מתפשר"
ample,"שופע, מספיק ויותר"
antiquated,"מיושן, ארכאי"
apparent,"גלוי, ניכר, ברור"
applicable,"ישום, רלוונטי"
approachable,"ידידותי, שאפשר לפנות אליו"
arbitrary,שרירותי
arduous,"מפרך, קשה מאוד"
argumentative,וכחני
arid,"צחיח, יבש"
atrocious,"איום, נורא, זוועתי"
audacious,"נועז, חצוף"
audible,"נשמע, שמיע"
augmented,"מוגדל, מורחב"
auspicious,"מבשר טובות, מבטיח"
avid,"נלהב, להוט"
baffling,"מבלבל, מתמיה"
bald,קירח
bankrupt,פושט רגל
bashful,ביישן
beneficial,"מועיל, מיטיב"
benevolent,"נדיב, טוב לב"
benign,"שפיר (גידול), טוב"
bewildered,"נבוך, מבלבל"
biased,"משוחד, מוטה"
bitter,"מר, מריר"
blatant,"בולט, גלוי"
bleak,"עגום, קודר"
blunt,"בוטה, ישיר"
boisterous,"רועש, סוער"
brief,"קצר, תמציתי"
brisk,"נמרץ, מהיר"
bulky,"מגושם, נפחי"
capable,"כשיר, מסוגל"
casual,"אגבי, לא רשמי"
chief,"ראשי, עיקרי"
citrus,"פרי הדר, הדרי"
civil,"אזרחי, מנומס"
coarse,"גס, מחוספס"
coherent,"קוהרנטי, עקבי"
cohesive,"מלוכד, קוהסיבי"
collective,"קולקטיבי, שיתופי"
colossal,"ענקי, כביר"
comedic,"קומי, מצחיק"
committed,"מחויב, מסור"
communal,"קהילתי, שיתופי"
compatible,"מתאים, תואם"
competent,"כשיר, מיומן"
complex,"מורכב, מסובך"
complicated,"מסובך, מורכב"
complicit,שותף לדבר עבירה
comprehensive,"מקיף, כולל"
compulsory,"חובה, כפוי"
concentrated,מרוכז
conditional,"מותנה, על תנאי"
confined,"מוגבל, כלוא"
confounded,"נבוך, מבולבל"
congenial,"נעים, חברותי"
conscious,"מודע, בהכרה"
consequent,"נובע מכך, כתוצאה"
conservative,שמרני
considerable,"ניכר, רב"
considerate,מתחשב
consistent,עקבי
conspicuous,"בולט, ניכר לעין"
constant,"קבוע, תמידי"
contagious,מדבק
contemporary,"עכשווי, בן זמננו"
continuous,"רציף, מתמיד"
contradictory,"מנוגד, הופכי"
controversial,שנוי במחלוקת
conventional,"שגרתי, מוסכמי"
cooperative,משתף פעולה
copious,"רב, שופע"
cordial,"לבבי, חם"
corporate,תאגידי
corrupt,מושחת
countless,אין-ספור
courageous,אמיץ
