ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
swathe,"עטף, כרך, חבש",outpaced,התקדם מהר יותר,spire,"צריח, מגדל מחודד",equivocal,"מעורפל, דו משמעי",convalesce,להחלים,gape,"לבהות, להביט בפה פעור",demented,"מטורף, משוגע",turbulent,"גועש, סוער",overdo,"להגזים, לעשות יתר על המידה",diagonal,אלכסון,overthrow,"1.הפיכה 2.קריסה, הריסה 3.הפיל (פועל)",municipal,"עירוני, של רשות מקומית",expertise,מומחיות
etcher,"חרט, גלף (כמקצוע)",mound,"תל, גבעה",cricket,1.קריקט (משחק כדור) 2.צרצר,evasive,"חמקני, מתחמק",trivial,"שולי, קטנוני",eject,"לסלק, לגרש",demolish,"להרוס, לנתץ ",tutor,"להדריך, חונך, מורה פרטי",overhear,לשמוע במקרה,underscored,מודגש,exception,יוצא מן הכלל,fetus,עובר,facades,חזיתות (אדריכלות)
bachelor,"בוגר, מי שסיים תואר ראשון /רווק",envisage,"חזה, דימה בנפשו",curb,1. אבן שפה (ברחוב) 2. לרסן,fastidious,"בררן, קפדן לפרטי פרטים",intensity,"העמקה, עצמה ניכרת",cheeky,חצוף,demolition ,"הריסה, ניתוץ",tyranny,"עריצות, רודנות",overrule,"1.להחליט נגד, לפסוק נגד 2.לבטל",undertook,התחייב,with the exception of,למעט,concurred with,"להתרחש בו זמנית, להתאים",strand,"גדיל, חוט"
vacancy,"ריקנות, משרה פנויה, חדר פנוי",squalid,מטונף,septic,"מזוהם, רקוב",redeem,"לפדות, לגאול",thus,לפיכך,avoidable,שניתן להימנע ממנו,denounce,"להאשים, לגנות",tyrant,,overview,סקירה,inquires,מתחקר,omnivore,אוכל כל,blaspheme,לחלל (דבר קדוש),realm,1.ממלכה 2.תחום
alumna,בוגרת מוסד השכלה,sewerage,ביוב,grim,"זועף, מבעית",rediscover,לגלות מחדש,prospect,"סיכויים, אפשריות",underfed,"שלא קיבל מספיק אוכל או אנרגיה, סובל מתת תזונה",departure,"יציאה, עזיבה",tyranny,"עריצות, רודנות",,,clutch,"1.מצמד 2.אחיזה, לפיתה",admirable,"נערץ, נפלא",composition,"הרכב, חיבור",restraint,איפוק
fraternity,אחווה,municipality,"עיר, מחוז",supremacy,עליונות,refine,"לזכך, לשפר",skimp,להתמקצן,deplore,"לגנות, להצטער על",depict,"לתאר, לצייר",tyrant,"עריץ, רודן",pamphlet,"חוברת, עלון",thaw,להפשיר,restorts to,פונה ל,bridle,"רסן, לשים רסן",fleeting,"קצר מועד, חולף"
,,,,,,,,,,,,,,,,,,,,,,,,,
mascot,קמע,parcel ,"חבילה, צרור",deem,"העריך, סבר",regime,משטר,kernel,גלעין,gleeful,צוהל,deplete,"למצות, לכלות",undo,"לבטל, להתיר",parachute,1.לצנוח 2.מצנח,companion,"לוויה, מלווה",ruin,"1.הירס, החריב 2.קילקל",demented,משוגע,commanded,"ציווה, פקד"
misadventure,מזל רע (ביש מזל),disembarked ,"נחת, ירד (מכלי תחבורה כלשהו)",negligence,רשלנות,noncturnal,"פעיל בלילה, לילי",forge,"לעצב, ליצור",igonminious,משפיל,deplore,"להצטער, להתחרט",undergo,"להתנסות, לחוות",peck,"לנקור, ניקור",incorporate,"לשלב, לאחד",incorporated into,שולב,resolve,1.לפתור 2.להחליט,Pivotal,"מכריע, מרכזי ביותר"
fretful,"עצבני, רגוז",curfew,עוצר,poignant,"נוקב, חד",enumerate,"למנות, לפרט אחד אחד",correspond,"להיות תואם, להתכתב",intoxicate,לשכר (שיכור),deport,"לגרש, להגלות",underlie,1.להדגיש 2.להיות מונח ביסוד 3.ממקום מתחת ל,peek,להציץ,trample,רומס,prohibited by,נאסר על ידי,demand,"לדרוש, דרישה",intricately,"בצורה מורכבת, באופן מפורט מאוד"
